ball,bowler_batsman,result,commentary,length,line
15.5,"Sundar to Harris, 1 run",1,"full at off stump, this drive slices off the outer half of the bat to deep cover",Full,Outside Off
15.4,"Sundar to Harris, no run",â€¢,worked into midwicket,Unknown,Unknown
15.3,"Sundar to Harris, no run",â€¢,"this goes straight on, left alone",Unknown,Unknown
15.2,"Sundar to Harris, no run",â€¢,"this turns! Full outside off, Harris goes for a booming drive and is beaten. Bounces as well. Good take from Pant. Harris nearly topples out of is crease. Landed in a footmark",Full,Outside Off
15.1,"Sundar to Warner, 1 run",1,"round the wicket, full and straight, clipped into midwicket",Full,Unknown
14.6,"Siraj to Harris, no run",â€¢,"good length at middle stump, defended from the crease, slices across the shot slightly",Good,Middle Stump
14.5,"Siraj to Harris, no run",â€¢,"fuller at off stump, played into the off side",Full,Off Stump
14.4,"Siraj to Harris, no run",â€¢,"length ball outside off, left alone",Good,Outside Off
14.3,"Siraj to Harris, no run",â€¢,"short of a length at off stump, Harris a little squared up as he defends to point",Good,Outside Off
14.2,"Siraj to Harris, no run",â€¢,"good length at middle and off, 135kph, defended",Good,Off Stump
14.1,"Siraj to Warner, 1 run",1,"full at the pads, tapped into midwicket and again Siraj goes after it himself",Full,Leg Stump
13.6,"Thakur to Harris, no run",â€¢,"short outside off, Harris goes for the pull but it comes off the splice and goes back to the bowler",Short,Outside Off
13.5,"Thakur to Harris, no run",â€¢,"good length at off stump, gets forward and defends to mid-off",Good,Off Stump
13.4,"Thakur to Harris, no run",â€¢,"full outside off, through to the keeper",Full,Outside Off
13.3,"Thakur to Harris, no run",â€¢,"pushed wide outside off, 135kph, left alone",Unknown,Outside Off
13.2,"Thakur to Harris, no run",â€¢,"short again, defended to the on side",Short,Unknown
13.1,"Thakur to Warner, 1 run",1,"short of a length, worked off the hip to deep square leg",Good,Off Stump
12.6,"Siraj to Harris, no run",â€¢,"drags the length back, left alone",Good,Unknown
12.5,"Siraj to Harris, FOUR runs",4,"fantastic shot! He's looking good. Siraj comes round the wicket, goes full outside off, Harris gets onto the front foot and plays the perfect drive wide of mid-off",Full,Outside Off
12.4,"Siraj to Harris, no run",â€¢,"angled across outside off, left alone",Unknown,Outside Off
12.3,"Siraj to Harris, no run",â€¢,"short of a length at leg stump, knocked into midwicket",Good,Leg Stump
12.2,"Siraj to Harris, no run",â€¢,"very full outside off, driven off the toe end to mid-off",Full,Outside Off
12.1,"Siraj to Harris, FOUR runs",4,"short outside off, another excellent shot by Harris, stands tall and square drives at the top of the bounce in front of point",Short,Outside Off
11.6,"Natarajan to Warner, no run",â€¢,"short of a length outside off, holds its line as Warner leaves alone. Productive over for Australia",Good,Outside Off
11.5,"Natarajan to Warner, no run",â€¢,"full at off stump, 130kph, defended on the front foot to mid-off followed by a loud call of ""no run""",Full,Off Stump
11.4,"Natarajan to Harris, 1 run",1,"back of a length outside off, tapped square of the wicket and there's a lot of space with the sweeper out",Good,Outside Off
11.3,"Natarajan to Harris, no run",â€¢,"full at off stump, better line and length, defended to mid-on",Full,Off Stump
11.2,"Natarajan to Harris, FOUR runs",4,"three in a row! Over adjusts his line, short and wide outside off, driven square of the wicket from the back foot. That's trademark Harris",Short,Outside Off
11.1,"Natarajan to Harris, 4 byes",4b,"down the leg side again, doesn't make contact with anything and evades the diving Pant. This moved significantly after pitching",Unknown,Leg Stump
