ball,bowler_batsman,result,commentary,length,line
45.4,"Green to Rahane, no run",â€¢,"full on off stump, and Rahane doesn't get a stride forward while punching to mid-off. The ball briefly hung in the air there",Full,Off Stump
45.3,"Green to Rahane, no run",â€¢,"fullish in the corridor, left alone",Full,Outside Off
45.2,"Green to Agarwal, 3 runs",3,"low full-toss angling into the stumps, shows it the full face and punches between umpire and non-striker. Didn't go too hard at it, because it was dipping awkwardly as it reached him",Yorker,Unknown
45.1,"Green to Agarwal, no run",â€¢,"shortish, close to off stump, hops to ride the bounce and jab into the point region",Short,Outside Off
44.6,"Hazlewood to Rahane, no run",â€¢,"fullish, angling into off stump, lets it come and defends towards short extra-cover, meeting the ball right under his eyes",Full,Outside Off
44.5,"Hazlewood to Rahane, 2 runs",2,"short on off stump, gets up to just below chest height, pulled round to the left of long leg",Short,Off Stump
44.4,"Hazlewood to Rahane, no run",â€¢,"ooh, that's a tight leave. Length ball, angling in from slightly wider of the crease, and he gets a good stride forward before letting go. Not too far outside off, maybe he left it on length, trusting the bounce",Good,Outside Off
44.3,"Hazlewood to Rahane, no run",â€¢,"length ball outside off, left alone",Good,Outside Off
44.2,"Hazlewood to Rahane, no run",â€¢,"back of a length, angling into middle stump, defended back to the bowler",Good,Middle Stump
44.1,"Hazlewood to Rahane, no run",â€¢,"fullish, angling into off stump, clipped watchfully to mid-on",Full,Off Stump
43.6,"Green to Agarwal, no run",â€¢,"back of a length, a little closer to off stump, leaves again, ensuring he doesn't leave the bat or gloves in the way",Good,Off Stump
43.5,"Green to Agarwal, no run",â€¢,"back of a length in the corridor, left alone",Good,Outside Off
43.4,"Green to Agarwal, no run",â€¢,"fuller now, and Agarwal gets a stride forward to block it back towards the bowler",Full,Unknown
43.3,"Green to Agarwal, no run",â€¢,"length ball, fifth-stump line, Agarwal leaves once more",Good,Unknown
43.2,"Green to Agarwal, no run",â€¢,"length ball, wider outside off, leaves it again",Good,Outside Off
43.1,"Green to Agarwal, no run",â€¢,"fullish in the corridor, left alone",Full,Outside Off
42.6,"Hazlewood to Rahane, no run",â€¢,"full at the stumps, closes the face and nearly gets a leading edge to cover",Full,Outside Off
42.5,"Hazlewood to Rahane, no run",â€¢,"short outside off, he drops the bat and sways out of the way",Short,Outside Off
42.4,"Hazlewood to Rahane, 2 runs",2,"fuller, shapes in at the stumps, neatly turned off the pads through midwicket",Full,Off Stump
42.3,"Hazlewood to Rahane, no run",â€¢,"short of a length outside off, across the crease and defends",Good,Outside Off
42.2,"Hazlewood to Rahane, no run",â€¢,"length ball outside off, defended",Good,Outside Off
42.1,"Hazlewood to Rahane, no run",â€¢,"short of a length outside off, 136kph, pushed off the back foot to cover",Good,Outside Off
41.6,"Lyon to Agarwal, no run",â€¢,"slides on outside off, left alone",Unknown,Outside Off
41.5,"Lyon to Agarwal, 4 runs",4,"good shot, a very full delivery outside off, driven through the off side...big chase from Green who flicks it back. Super work. But they've rum four anyway",Full,Outside Off
41.4,"Lyon to Rahane, 1 run",1,"full outside off, whipped towards mid-on who is reasonably deep",Full,Outside Off
41.3,"Lyon to Rahane, no run",â€¢,uses his feet and works to the on side,Unknown,Unknown
41.2,"Lyon to Agarwal, 1 run",1,"dragged down short, rocks back and pulls to deep square",Short,Unknown
41.1,"Lyon to Agarwal, no run",â€¢,"some turn there, defended to silly point",Unknown,Outside Off
40.6,"Hazlewood to Rahane, no run",â€¢,"full outside off, defended",Full,Outside Off
40.5,"Hazlewood to Rahane, no run",â€¢,"good length outside off, 137kph, left alone",Good,Outside Off
40.4,"Hazlewood to Rahane, 2 runs",2,"a short delivery, rolls his wrists and pulls well in front of square",Short,Unknown
40.3,"Hazlewood to Rahane, no run",â€¢,"gets a good stride into the ball, defends to the off side",Unknown,Off Stump
40.2,"Hazlewood to Rahane, no run",â€¢,"a beauty! He's in the groove this morning. Good length just outside off, climbs past the outside edge as Rahane presses forward",Good,Outside Off
